repo_id,id_contribuidor,data
1226,44497,12-10-2013
1226,44567,07-06-2012
1226,44598,20-07-2015
1226,44799,06-08-2014
1226,44816,01-03-2013
1226,44860,07-03-2015
1226,44969,23-08-2013
1226,45077,16-08-2012
1226,45258,21-02-2019
1226,45268,21-10-2014
1226,45540,16-04-2018
1226,45558,03-07-2012
1226,46132,14-10-2013
1226,46263,16-05-2014
1226,46570,11-02-2015
1226,46589,27-08-2013
1226,46693,04-09-2014
1226,47578,07-09-2012
1226,47776,28-02-2014
1226,47784,18-05-2018
1226,47829,17-09-2014
1226,47931,16-02-2014
1226,48277,18-01-2014
1226,48465,19-07-2012
1226,48466,19-02-2016
1226,48555,02-06-2014
1226,48727,24-01-2013
1226,48753,13-07-2012
1226,48765,13-07-2012
1226,49218,11-06-2012
1226,49349,23-06-2014
1226,49406,19-09-2013
1226,49427,22-03-2015
1226,49548,17-11-2012
1226,49587,16-07-2012
1226,50516,03-06-2012
1226,50592,02-12-2016
1226,50699,08-10-2014
1226,51064,09-05-2012
1226,51083,24-02-2013
1226,51367,27-05-2014
1226,51702,18-06-2012
1226,51703,05-09-2012
1226,51895,27-05-2014
1226,52218,03-03-2018
1226,52247,06-02-2013
1226,52275,12-06-2018
1226,52611,04-06-2015
1226,52628,25-06-2013
1226,52629,19-06-2012
1226,52630,12-08-2013
1226,52638,11-06-2012
1226,52709,15-11-2013
1226,52943,15-11-2013
1226,53044,23-01-2014
1226,53198,16-05-2012
1226,53245,15-06-2014
1226,53978,11-08-2012
1226,54072,16-07-2014
1226,54255,08-06-2012
1226,54257,11-07-2012
1226,54312,20-11-2012
1226,55039,07-06-2012
1226,55153,18-01-2015
1226,55321,28-04-2012
1226,55544,18-05-2013
1226,55577,10-09-2015
1226,56101,30-11-2012
1226,56354,08-04-2019
1226,57020,10-08-2012
1226,57081,26-05-2014
1226,57187,24-11-2014
1226,57988,23-07-2015
1226,59287,18-11-2012
1226,59596,02-01-2015
1226,59890,18-05-2013
1226,59891,18-05-2013
1226,59893,23-02-2013
1226,59975,28-03-2013
1226,60036,13-02-2012
1226,60449,01-09-2015
1226,61039,11-07-2012
1226,61043,27-06-2012
1226,61044,06-05-2012
1226,61264,09-05-2015
1226,61272,25-09-2015
1226,61275,28-10-2012
1226,61398,07-02-2019
1226,61460,14-04-2019
1226,61645,08-05-2012
1226,61816,05-06-2015
1226,61844,11-02-2014
1226,61889,02-06-2012
1226,61907,02-01-2016
1226,61916,12-06-2014
1226,61918,18-06-2015
1226,61985,30-10-2013
1226,62176,08-08-2012
1226,62178,13-05-2012
1226,62232,06-02-2015
1226,62237,19-10-2017
1226,62308,19-03-2013
1226,62312,04-06-2015
1226,62321,20-02-2015
1226,62456,05-11-2012
1226,62743,18-03-2014
1226,63061,11-02-2014
1226,63539,21-09-2016
1226,63804,12-05-2013
